tokyo	tonkatsu	->	katsu	とんかつ芝
tokyo	teishoku	->	shokudo	dancyu食堂
tokyo	tonkatsu	->	katsu	とんかつ 銀座梅林 本店
tokyo	soba	->	udon_soba	蕎麦 さくら
tokyo	soba	->	udon_soba	蕎麦処 おかめ
tokyo	matcha_cafe	->	cafe	中村藤吉本店 銀座店
tokyo	soba	->	udon_soba	新しき村
tokyo	teishoku	->	shokudo	築地食堂源記
tokyo	teishoku	->	shokudo	築地食堂 源
tokyo	soba	->	udon_soba	築地そばたかや
tokyo	teahouse	->	cafe	山本山 ふじヱ茶房
tokyo	soba	->	udon_soba	蕎麦 田中鮒
tokyo	teishoku	->	shokudo	昭和食堂 秋葉原駅前店
tokyo	teishoku	->	shokudo	ごはん処 あだち
tokyo	teishoku	->	shokudo	しんぱち食堂 御茶ノ水店
tokyo	teishoku	->	shokudo	浅草 ときわ食堂
tokyo	teishoku	->	shokudo	水口食堂
tokyo	teishoku	->	shokudo	蔵前 みかどや
tokyo	teishoku	->	shokudo	丼めし 安兵衛
tokyo	tonteki	->	yoshoku	トンテキ食堂 なかむら
tokyo	teishoku	->	shokudo	定食屋 松本
tokyo	teishoku	->	shokudo	中野の台所
tokyo	teishoku	->	shokudo	定食屋 大正
tokyo	teishoku	->	shokudo	个食堂 ひとさじ
